id,name
316,Santa Clara - Monte Sereno
325,Santa Clara - Morgan Hill
328,Santa Clara - Mountain View
362,Santa Clara - Palo Alto
444,Santa Clara - San Jose
465,Santa Clara - Santa Clara
467,Santa Clara - Santa Clara-Unincorporated
478,Santa Clara - Saratoga
519,Santa Clara - Sunnyvale
72,Santa Cruz - Capitola
469,Santa Cruz - Santa Cruz
471,Santa Cruz - Santa Cruz-Unincorporated
480,Santa Cruz - Scotts Valley
566,Santa Cruz - Watsonville
16,Shasta - Anderson
396,Shasta - Redding
611,Shasta - Shasta County Waste Management Agency
486,Shasta - Shasta Lake
488,Shasta - Shasta-Unincorporated
277,Sierra - Loyalton
599,Sierra - Sierra County Regional Agency
491,Sierra - Sierra-Unincorporated
131,Siskiyou - Dorris
136,Siskiyou - Dunsmuir
150,Siskiyou - Etna
162,Siskiyou - Fort Jones
314,Siskiyou - Montague
327,Siskiyou - Mount Shasta
494,Siskiyou - Siskiyou County Integrated Solid Waste Management Regional Agency
496,Siskiyou - Siskiyou-Unincorporated
542,Siskiyou - Tulelake
567,Siskiyou - Weed
589,Siskiyou - Yreka
42,Solano - Benicia
130,Solano - Dixon
154,Solano - Fairfield
405,Solano - Rio Vista
499,Solano - Solano-Unincorporated
518,Solano - Suisun City
553,Solano - Vacaville
554,Solano - Vallejo
88,Sonoma - Cloverdale
109,Sonoma - Cotati
192,Sonoma - Healdsburg
370,Sonoma - Petaluma
412,Sonoma - Rohnert Park
476,Sonoma - Santa Rosa
483,Sonoma - Sebastopol
502,Sonoma - Sonoma
503,Sonoma - Sonoma County Waste Management Agency
505,Sonoma - Sonoma-Unincorporated
580,Sonoma - Windsor
78,Stanislaus - Ceres
202,Stanislaus - Hughson
308,Stanislaus - Modesto
339,Stanislaus - Newman
344,Stanislaus - Oakdale
368,Stanislaus - Patterson
407,Stanislaus - Riverbank
616,Stanislaus - Stanislaus County Regional Solid Waste Planning Agency
514,Stanislaus - Stanislaus-Unincorporated
545,Stanislaus - Turlock
565,Stanislaus - Waterford
260,Sutter - Live Oak
523,Sutter - Sutter-Unincorporated
590,Sutter - Yuba City
104,Tehama - Corning
395,Tehama - Red Bluff
526,Tehama - Tehama
600,Tehama - Tehama County Sanitary Landfill Regional Agency
630,Tehama - Tehama County Solid Waste Management Agency
528,Tehama - Tehama-Unincorporated
537,Trinity - Trinity-Unincorporated
609,Tulare - Consolidated Waste Management Authority
129,Tulare - Dinuba
152,Tulare - Exeter
155,Tulare - Farmersville
259,Tulare - Lindsay
388,Tulare - Porterville
539,Tulare - Tulare
541,Tulare - Tulare-Unincorporated
560,Tulare - Visalia
582,Tulare - Woodlake
506,Tuolumne - Sonora
544,Tuolumne - Tuolumne-Unincorporated
69,Ventura - Camarillo
157,Ventura - Fillmore
322,Ventura - Moorpark
347,Ventura - Ojai
356,Ventura - Oxnard
387,Ventura - Port Hueneme
430,Ventura - San Buenaventura
475,Ventura - Santa Paula
493,Ventura - Simi Valley
531,Ventura - Thousand Oaks
556,Ventura - Ventura-Unincorporated
120,Yolo - Davis
571,Yolo - West Sacramento
581,Yolo - Winters
583,Yolo - Woodland
586,Yolo - Yolo-Unincorporated
293,Yuba - Marysville
575,Yuba - Wheatland
593,Yuba - Yuba/Sutter Regional Waste Management Authority
592,Yuba - Yuba-Unincorporated
